County Name	Circuit Number	Court Address	Street Address	City	ZIP Code	Court Phone #	Special Requirement?	Web Link	Website	NC Resource?	What Publication?	Publication URL	Finger Printing Location Name	Nearby?	FP Address	FP Street Address	FP City	FP ZIP	FP Web Link		Vetted?
Alcona	23rd	106 5th Street, Harrisville MI 48740	106 5th Street	Harrisville	48740	(989) 724-9400		LINK	https://alconacountymi.com/?page_id=430		Alcona County Review	https://www.alconareview.com/index.php/contact-us-main	Alcona County Sheriff	Yes	214 W Main St, Harrisville, MI 48740	214 W Main St	Harrisville	48740	LINK	http://alconasheriff.com/	
Alger	11th	101 Court Street, Munising, MI 49862	101 Court Street	Munising	49862	(906) 387-2080		LINK	https://www.algercounty.gov/courts/probate_court/index.php		The Mining Journal	https://www.miningjournal.net/contact-us/	Alger County Sheriff	Yes	101 E Varnum St, Munising, MI 49862	101 E Varnum St	Munising	49862	LINK	https://www.algercounty.gov/departments/sheriff/index.php	
Allegan	48th	113 Chestnut St, Allegan, MI 49010	113 Chestnut St	Allegan	49010	(269) 673-0534		LINK	https://www.allegancounty.org/courts-law-enforcement/family-court		Allegan County News	https://wilcoxnewspapers.com/contact/	Portage Police Department		7810 Shaver Rd, Portage, MI 49024	7810 Shaver Rd	Portage	49024	LINK	https://www.portagemi.gov/faq.aspx?qid=198	
Alpena	26th	720 W Chisholm St # 1, Alpena, MI 49707	720 W Chisholm St # 1	Alpena	49707	(989) 354-9573		LINK	https://alpenacounty.org/circuit/		The Alpena News	https://www.thealpenanews.com/contact-us/	Alpena County Sheriff		4900 M-32, Alpena, MI 49707	4900 M-32	Alpena	49707	LINK	https://www.alpenasheriff.com/	
Antrim	13th	205 E Cayuga St, Bellaire, MI 49615	205 E Cayuga St	Bellaire	49615	(231) 533-6353	Copy of Birth Certificate to file	LINK	https://www.antrimcounty.org/departments___services_/courts/probate_court_and_family_division/name_change_petition.php	Yes	The Antrim Review	https://www.antrimreview.net/	Antrim County Sheriff	Yes	107 Grove St, Bellaire, MI 49615	107 Grove St	Bellaire	49615	LINK	https://www.antrimcounty.org/departments___services_/sheriff/index.php	
Arenac	23rd	120 N Grove St, Standish, MI 48658	120 N Grove St	Standish	48658	(989) 846-6941		LINK	https://www.arenaccountymi.gov/Courts-Law/23rd-Circuit-Court/		The Arenac County Independent	https://www.arenacindependent.com/contact-us/	Arenac County Sheriff	Yes	126 N Grove St, Standish, MI 48658	126 N Grove St	Standish	48658	LINK	https://www.arenaccountymi.gov/Sheriff/Sheriff/	
Baraga	12th	16 N 3rd St, L'Anse, MI 49946	16 N 3rd St	L'Anse	49946	(906) 524-6100		LINK	https://keweenawbay.org/government/departments/circuit-court/		L'Anse Sentinel	https://lansesentinel.net/contact-us/	Baraga County Sheriff		940 US Hwy 41, L'Anse, MI 49946	940 US Hwy 41	L'Anse	49946	LINK	https://keweenawbay.org/government/departments/county-sheriff/	
Barry	5th	206 W Court St #302, Hastings, MI 49058	206 W Court St #302	Hastings	49058	(269) 945-1390	Copy of Birth Certificate to file	LINK	https://www.barrycounty.org/courts_and_law_enforcement/family_court/change_of_name.php	Yes	The Hastings Banner	https://www.hastingsbanner.com/contact	Barry County Sheriff		1212 W State St, Hastings, MI 49058	1212 W State St	Hastings	49058	LINK	https://www.barrycounty.org/sheriff_s/fingerprinting.php	
Bay	18th	1230 Washington Ave # 715, Bay City, MI 48708	1230 Washington Ave # 715	Bay City	48708	(989) 895-4206		LINK	https://www.baycounty-mi.gov/Probate-Family-Court/Default.aspx		The Bay City Times	https://www.facebook.com/baycitytimes/about	Bay County Sheriff	Yes	503 3rd St, Bay City, MI 48708	503 3rd St	Bay City	48708	LINK	https://www.baycounty-mi.gov/Clerk/ConcealedPistolPermitsCCW.aspx	
Benzie	19th	448 Court Pl, Beulah, MI 49617	448 Court Pl	Beulah	49617	(231) 882-0023		LINK	https://www.benzieco.net/government/19th_judicial_circuit_court/index.php		The Benzie County Record Patriot	https://www.recordpatriot.com/contact/	Benzie County Sheriff	Yes	505 S Michigan Ave, Beulah, MI 49617	505 S Michigan Ave	Beulah	49617	LINK	https://www.benzieco.net/government/county_sheriff_s_office/services/finger_printing_services.php	
Berrien	13th	811 Port St, St Joseph, MI 49085	811 Port St	St Joseph	49085	(269) 983-7111		LINK	https://www.berriencounty.org/1681/Name-Changes	Yes	Multiple Options		Berrien County Sheriff	Yes	919 Port St, St Joseph, MI 49085	919 Port St	St Joseph	49085	LINK	https://www.google.com/maps/place/Berrien+County+Sheriff's+Department/@42.1099559,-86.4780782,19z/data=!4m14!1m7!3m6!1s0x8810c6984226ad23:0xe989e7d2ad82e3be!2sBerrien+County+Courthouse!8m2!3d42.1099559!4d-86.4775466!16s%2Fg%2F1tc_rm47!3m5!1s0x8810c698dfd50e3d:0x81f9c43f5da44cb4!8m2!3d42.1096714!4d-86.476205!16s%2Fg%2F1wn3486d	
Branch	15th	31 Division St, Coldwater, MI 49036	31 Division St	Coldwater	49036	(517) 279-4304		LINK	https://www.countyofbranch.com/courts/15th-circuit-court/		The Daily Reporter	https://www.thedailyreporter.com/public-notices	Coldwater Police Department	Yes	57 Division St, Coldwater, MI 49036	57 Division St	Coldwater	49036	LINK	http://www.coldwater.org/DocumentCenter/View/227/Public-Safety-Fee-Schedule-PDF?bidId=	
Calhoun	37th	161 Michigan Ave, Battle Creek, MI 49014	161 Michigan Ave	Battle Creek	49014	(269) 969-6518	Copy of Birth Certificate to file	LINK	https://www.calhouncountymi.gov/departments/courts/circuit_court/name_changes.php	Yes	Multiple Options		Calhoun County Sheriff	Yes	161 Michigan Ave, Battle Creek, MI 49014	161 Michigan Ave	Battle Creek	49014	LINK	https://www.calhouncountymi.gov/departments/sheriffs_office/records_division.php	
Cass	43rd	60296 M-62, Cassopolis, MI 49031	60296 M-62	Cassopolis	49031	(269) 445-4412		LINK	https://casscourtsmi.org/name-changes/	Yes	Leader Publications	https://www.leaderpub.com/services/about-us/	Cassopolis Police Department		117 S Broadway St # 100, Cassopolis, MI 49031	117 S Broadway St # 100	Cassopolis	49031	LINK	https://www.casscountymi.org/faq.aspx?qid=101	
Charlevoix	33rd	301 State St #7, Charlevoix, MI 49720	301 State St #7	Charlevoix	49720	(231) 547-7277		LINK	https://www.charlevoixcounty.org/the_7th_probate_court/name_change.php	Yes	Charlevoix Legal News		Charlevoix County Sheriff		1000 Grant St, Charlevoix, MI 49720	1000 Grant St	Charlevoix	49720	LINK	https://www.charlevoixcounty.org/charlevoix_county_sheriff/index.php	
Cheboygan	53rd	870 S Main Street, Cheboygan, MI  49721	870 S Main Street	Cheboygan	49721	(231) 627-8823		LINK	https://www.cheboygancounty.net/courts-law-enforcement/probate-family-court/	Yes	Cheboygan Daily Tribune	https://www.cheboygannews.com/public-notices	Cheboygan County Sheriff	Yes	870 S Main Street, Cheboygan, MI  49721	870 S Main Street	Cheboygan	49721	LINK	https://www.cheboygancounty.net/courts-law-enforcement/sheriffs-department/	
Chippewa	50th	319 Court St # 8, Sault Ste. Marie, MI 49783	319 Court St # 8	Sault Ste. Marie	49783	(906) 635-6314		LINK	https://www.chippewacountymi.gov/pc-change-of-name	Yes	Court gives form		Chippewa County Sheriff	Yes	325 Court St #3, Sault Ste. Marie, MI 49783	325 Court St #3	Sault Ste. Marie	49783	LINK	https://www.chippewacountymi.gov/sheriff-office	
Clare	55th	225 W Main St, Harrison, MI 48625	225 W Main St	Harrison	48625	(989) 539-7109		LINK	https://clareco.net/department/courts/#tab-2774		Clare County Review	https://wilcoxnewspapers.com/contact/	Clare County Sheriff	Yes	100-198 S 4th St, Harrison, MI 48625	100-198 S 4th St	Harrison	48625	LINK	https://clareco.net/department/sheriff/	
Clinton	29th	100 East State Street, St Johns MI 48879	100 East State Street	St Johns	48879	(989) 224-5140		LINK	https://www.clinton-county.org/FormCenter/Friend-of-the-Court-11/Name-Change-Request-Form-137	Yes	Clinton County News		Clinton County Sheriff		1347 E Townsend Rd, St Johns, MI 48879	1347 E Townsend Rd	St Johns	48879	LINK	https://www.clinton-county.org/241/Sheriffs-Office	
Crawford	46th	200 Michigan Ave, Grayling, MI 49738	200 Michigan Ave	Grayling	49738	(989) 344-3260 		LINK	https://lookup.circuit46.org/Crawford/web%20brochures/c46c_Name_Change.pdf	Yes	Crawford County Avalanche	http://www.crawfordcountyavalanche.com/	Crawford County Sheriff	Yes	200 W Michigan Ave, Grayling, MI 49738	200 W Michigan Ave	Grayling	49738	LINK	https://www.crawfordco.org/offices-departments/sheriff/	
